Catégorie : Toutes catégories

Mois,inflation: (Royaume-Uni),prices: (Royaume-Uni),CPI: (Royaume-Uni),cheap: (Royaume-Uni)
2004-01,1,20,< 1,84
2004-02,1,20,< 1,77
2004-03,1,18,< 1,72
2004-04,1,18,< 1,79
2004-05,1,19,< 1,79
2004-06,1,17,< 1,84
2004-07,1,18,< 1,100
2004-08,1,18,< 1,95
2004-09,1,18,< 1,81
2004-10,1,17,< 1,76
2004-11,1,18,< 1,69
2004-12,1,16,< 1,65
2005-01,1,19,< 1,84
2005-02,1,18,< 1,78
2005-03,1,18,< 1,78
2005-04,1,18,< 1,81
2005-05,1,17,< 1,83
2005-06,1,17,< 1,86
2005-07,1,17,< 1,89
2005-08,1,18,< 1,90
2005-09,1,18,< 1,77
2005-10,1,16,< 1,67
2005-11,1,16,< 1,62
2005-12,1,14,< 1,59
2006-01,1,17,< 1,78
2006-02,1,17,< 1,69
2006-03,1,17,< 1,68
2006-04,1,17,< 1,71
2006-05,1,16,< 1,69
2006-06,1,15,< 1,71
2006-07,1,18,< 1,85
2006-08,1,18,< 1,78
2006-09,1,16,< 1,68
2006-10,1,16,< 1,63
2006-11,1,15,< 1,55
2006-12,1,14,< 1,54
2007-01,1,17,< 1,70
2007-02,1,16,< 1,63
2007-03,1,16,< 1,60
2007-04,1,17,< 1,64
2007-05,1,16,< 1,65
2007-06,1,16,< 1,67
2007-07,1,17,< 1,76
2007-08,1,17,< 1,74
2007-09,1,17,< 1,64
2007-10,1,16,< 1,57
2007-11,1,16,< 1,51
2007-12,1,14,< 1,49
2008-01,1,17,< 1,66
2008-02,1,16,< 1,59
2008-03,1,17,< 1,59
2008-04,1,17,< 1,57
2008-05,1,16,< 1,58
2008-06,1,17,< 1,61
2008-07,1,18,< 1,66
2008-08,1,16,< 1,61
2008-09,1,16,< 1,51
2008-10,1,18,< 1,47
2008-11,1,15,< 1,46
2008-12,1,14,< 1,44
2009-01,1,16,< 1,56
2009-02,1,14,< 1,49
2009-03,1,14,< 1,49
2009-04,1,15,< 1,50
2009-05,1,15,< 1,52
2009-06,< 1,15,< 1,54
2009-07,< 1,16,< 1,59
2009-08,< 1,16,< 1,56
2009-09,< 1,15,< 1,50
2009-10,1,15,< 1,48
2009-11,1,16,< 1,45
2009-12,< 1,14,< 1,42
2010-01,1,16,< 1,50
2010-02,1,17,< 1,47
2010-03,1,17,< 1,46
2010-04,1,17,< 1,44
2010-05,1,16,< 1,45
2010-06,1,16,< 1,46
2010-07,< 1,16,< 1,50
2010-08,< 1,16,< 1,48
2010-09,1,14,< 1,42
2010-10,1,14,< 1,40
2010-11,1,14,< 1,36
2010-12,1,13,< 1,31
2011-01,1,20,< 1,55
2011-02,1,19,< 1,49
2011-03,1,18,< 1,48
2011-04,1,18,< 1,48
2011-05,1,18,< 1,49
2011-06,1,19,< 1,52
2011-07,1,19,< 1,55
2011-08,1,20,< 1,51
2011-09,1,18,< 1,46
2011-10,1,17,< 1,44
2011-11,1,16,< 1,40
2011-12,1,15,< 1,38
2012-01,1,17,< 1,48
2012-02,1,17,< 1,43
2012-03,1,17,< 1,44
2012-04,1,17,< 1,44
2012-05,1,17,< 1,47
2012-06,1,17,< 1,49
2012-07,< 1,17,< 1,52
2012-08,< 1,18,< 1,51
2012-09,1,17,< 1,46
2012-10,1,17,< 1,43
2012-11,1,15,< 1,38
2012-12,1,14,< 1,36
2013-01,1,16,< 1,44
2013-02,1,17,< 1,41
2013-03,1,17,< 1,42
2013-04,1,18,< 1,44
2013-05,1,17,< 1,45
2013-06,1,17,< 1,47
2013-07,< 1,19,< 1,50
2013-08,< 1,21,< 1,47
2013-09,1,17,< 1,42
2013-10,1,18,< 1,41
2013-11,1,16,< 1,38
2013-12,1,15,< 1,36
2014-01,1,18,< 1,46
2014-02,1,18,< 1,42
2014-03,1,17,< 1,41
2014-04,1,19,< 1,42
2014-05,1,18,< 1,44
2014-06,1,17,< 1,45
2014-07,< 1,18,< 1,46
