DATE,ICSA
1977-06-01,1445000
1977-07-01,1807000
1977-08-01,1469000
1977-09-01,1475000
1977-10-01,1795000
1977-11-01,1414000
1977-12-01,1798000
1978-01-01,1404000
1978-02-01,1533000
1978-03-01,1396000
1978-04-01,1630000
1978-05-01,1308000
1978-06-01,1297000
1978-07-01,1751000
1978-08-01,1395000
1978-09-01,1613000
1978-10-01,1313000
1978-11-01,1322000
1978-12-01,1778000
1979-01-01,1430000
1979-02-01,1434000
1979-03-01,1790000
1979-04-01,1662000
1979-05-01,1392000
1979-06-01,1800000
1979-07-01,1517000
1979-08-01,1575000
1979-09-01,1929000
1979-10-01,1609000
1979-11-01,1653000
1979-12-01,2141000
1980-01-01,1657000
1980-02-01,1672000
1980-03-01,2169000
1980-04-01,2119000
1980-05-01,3079000
1980-06-01,2428000
1980-07-01,2237000
1980-08-01,2641000
1980-09-01,1931000
1980-10-01,1752000
1980-11-01,2063000
1980-12-01,1640000
1981-01-01,2065000
1981-02-01,1715000
1981-03-01,1630000
1981-04-01,1641000
1981-05-01,2082000
1981-06-01,1732000
1981-07-01,1723000
1981-08-01,2251000
1981-09-01,1893000
1981-10-01,2464000
1981-11-01,2047000
1981-12-01,2204000
1982-01-01,2676000
1982-02-01,2135000
1982-03-01,2226000
1982-04-01,2348000
1982-05-01,2919000
1982-06-01,2398000
1982-07-01,2880000
1982-08-01,2518000
1982-09-01,2643000
1982-10-01,3262000
1982-11-01,2377000
1982-12-01,2095000
1983-01-01,2505000
1983-02-01,1955000
1983-03-01,1921000
1983-04-01,2480000
1983-05-01,1872000
1983-06-01,1777000
1983-07-01,2040000
1983-08-01,1743000
1983-09-01,1635000
1983-10-01,2011000
1983-11-01,1570000
1983-12-01,1844000
1984-01-01,1404000
1984-02-01,1357000
1984-03-01,1729000
1984-04-01,1477000
1984-05-01,1441000
1984-06-01,1807000
1984-07-01,1442000
1984-08-01,1558000
1984-09-01,1977000
1984-10-01,1677000
1984-11-01,1628000
1984-12-01,1928000
1985-01-01,1483000
1985-02-01,1567000
1985-03-01,1904000
1985-04-01,1593000
1985-05-01,1571000
1985-06-01,1962000
1985-07-01,1513000
1985-08-01,2022000
1985-09-01,1634000
1985-10-01,1623000
1985-11-01,1967000
1985-12-01,1541000
1986-01-01,1467000
1986-02-01,1478000
1986-03-01,1906000
1986-04-01,1543000
1986-05-01,1930000
1986-06-01,1482000
1986-07-01,1448000
1986-08-01,2037000
1986-09-01,1582000
1986-10-01,1533000
1986-11-01,1816000
1986-12-01,1433000
1987-01-01,1728000
1987-02-01,1395000
1987-03-01,1333000
1987-04-01,1345000
1987-05-01,1655000
1987-06-01,1289000
1987-07-01,1277000
1987-08-01,1628000
1987-09-01,1239000
1987-10-01,1500000
1987-11-01,1227000
1987-12-01,1275000
1988-01-01,1678000
1988-02-01,1275000
1988-03-01,1222000
1988-04-01,1561000
1988-05-01,1255000
1988-06-01,1233000
1988-07-01,1608000
1988-08-01,1259000
1988-09-01,1218000
1988-10-01,1457000
1988-11-01,1162000
1988-12-01,1466000
1989-01-01,1159000
1989-02-01,1215000
1989-03-01,1288000
1989-04-01,1559000
1989-05-01,1298000
1989-06-01,1332000
1989-07-01,1708000
1989-08-01,1338000
1989-09-01,1680000
1989-10-01,1453000
1989-11-01,1347000
1989-12-01,1776000
1990-01-01,1444000
1990-02-01,1433000
1990-03-01,1726000
1990-04-01,1447000
1990-05-01,1421000
1990-06-01,1812000
1990-07-01,1468000
1990-08-01,1537000
1990-09-01,1970000
1990-10-01,1701000
1990-11-01,1787000
1990-12-01,2275000
1991-01-01,1759000
1991-02-01,1936000
1991-03-01,2493000
1991-04-01,1869000
1991-05-01,1788000
1991-06-01,2143000
1991-07-01,1673000
1991-08-01,2158000
1991-09-01,1698000
1991-10-01,1691000
1991-11-01,2227000
1991-12-01,1827000
1992-01-01,1756000
1992-02-01,2211000
1992-03-01,1718000
1992-04-01,1673000
1992-05-01,2087000
1992-06-01,1675000
1992-07-01,1771000
1992-08-01,2036000
1992-09-01,1668000
1992-10-01,1889000
1992-11-01,1449000
1992-12-01,1356000
1993-01-01,1728000
1993-02-01,1353000
1993-03-01,1404000
1993-04-01,1419000
1993-05-01,1718000
1993-06-01,1371000
1993-07-01,1754000
1993-08-01,1364000
1993-09-01,1356000
1993-10-01,1749000
1993-11-01,1364000
1993-12-01,1292000
1994-01-01,1796000
1994-02-01,1394000
1994-03-01,1343000
1994-04-01,1720000
1994-05-01,1436000
1994-06-01,1360000
1994-07-01,1711000
1994-08-01,1345000
1994-09-01,1321000
1994-10-01,1667000
1994-11-01,1312000
1994-12-01,1616000
1995-01-01,1334000
1995-02-01,1351000
1995-03-01,1361000
1995-04-01,1751000
1995-05-01,1481000
1995-06-01,1465000
1995-07-01,1857000
1995-08-01,1425000
1995-09-01,1810000
1995-10-01,1486000
1995-11-01,1508000
1995-12-01,1825000
1996-01-01,1496000
1996-02-01,1509000
1996-03-01,1932000
1996-04-01,1437000
1996-05-01,1378000
1996-06-01,1711000
1996-07-01,1348000
1996-08-01,1659000
1996-09-01,1371000
1996-10-01,1356000
1996-11-01,1682000
1996-12-01,1414000
1997-01-01,1356000
