Catégorie : Toutes catégories

Mois,Inflation: (États-Unis),Prices: (États-Unis),CPI: (États-Unis),Cheap: (États-Unis)
2004-01,3,42,2,89
2004-02,3,42,1,86
2004-03,3,45,1,84
2004-04,3,46,1,83
2004-05,3,53,1,90
2004-06,3,43,1,97
2004-07,2,42,1,100
2004-08,2,41,1,95
2004-09,3,37,1,85
2004-10,3,39,1,82
2004-11,3,39,1,80
2004-12,3,39,1,81
2005-01,3,37,1,93
2005-02,3,36,1,86
2005-03,3,41,1,85
2005-04,3,42,1,82
2005-05,3,39,1,84
2005-06,2,39,1,88
2005-07,2,40,1,90
2005-08,2,57,1,91
2005-09,3,62,1,79
2005-10,3,39,1,74
2005-11,3,38,1,74
2005-12,3,34,1,73
2006-01,2,36,1,80
2006-02,3,35,1,77
2006-03,3,36,1,78
2006-04,3,47,1,78
2006-05,3,42,1,79
2006-06,3,37,1,83
2006-07,2,39,1,86
2006-08,2,37,1,82
2006-09,2,38,1,75
2006-10,2,35,1,74
2006-11,3,33,1,72
2006-12,2,32,1,71
2007-01,2,33,1,82
2007-02,3,32,1,80
2007-03,2,34,1,81
2007-04,2,36,1,78
2007-05,3,43,1,83
2007-06,2,34,1,90
2007-07,2,35,1,91
2007-08,2,32,1,86
2007-09,3,32,1,79
2007-10,3,32,1,77
2007-11,3,38,1,76
2007-12,2,33,1,74
2008-01,3,34,1,85
2008-02,3,34,1,83
2008-03,3,42,1,83
2008-04,3,45,1,81
2008-05,3,50,1,84
2008-06,3,48,1,89
2008-07,3,46,1,88
2008-08,2,39,1,84
2008-09,3,49,1,77
2008-10,3,53,1,80
2008-11,3,48,1,82
2008-12,2,44,1,86
2009-01,2,40,1,91
2009-02,3,38,1,89
2009-03,3,37,1,93
2009-04,3,35,1,84
2009-05,2,37,1,88
2009-06,2,37,1,95
2009-07,2,37,1,100
2009-08,2,36,1,95
2009-09,2,34,1,87
2009-10,3,35,1,88
2009-11,2,36,1,85
2009-12,2,35,1,87
2010-01,2,35,1,91
2010-02,2,34,1,90
2010-03,2,35,1,90
2010-04,3,35,1,84
2010-05,2,35,1,88
2010-06,2,34,1,91
2010-07,2,34,1,87
2010-08,2,31,1,85
2010-09,2,30,1,75
2010-10,2,30,1,73
2010-11,3,33,1,72
2010-12,2,33,1,73
2011-01,2,39,1,91
2011-02,3,42,1,91
2011-03,3,45,1,89
2011-04,3,48,1,83
2011-05,2,48,1,86
2011-06,2,43,1,92
2011-07,2,43,1,89
2011-08,2,44,1,86
2011-09,2,40,1,80
2011-10,2,38,1,81
2011-11,2,37,1,77
2011-12,2,37,1,78
2012-01,2,38,1,82
2012-02,2,42,1,85
2012-03,2,43,1,84
2012-04,2,39,1,81
2012-05,2,40,1,81
2012-06,2,42,1,86
2012-07,2,41,1,88
2012-08,2,39,1,84
2012-09,2,38,1,78
2012-10,2,38,1,75
2012-11,2,37,1,74
2012-12,2,35,1,74
2013-01,2,36,1,78
2013-02,2,37,1,81
2013-03,2,36,1,80
2013-04,3,37,1,76
2013-05,2,38,1,79
2013-06,2,40,1,83
2013-07,2,41,1,84
2013-08,2,37,1,80
2013-09,2,34,1,76
2013-10,2,34,1,74
2013-11,2,35,1,73
2013-12,2,32,1,74
2014-01,2,35,1,77
2014-02,2,35,1,80
2014-03,3,35,1,78
2014-04,3,35,1,76
2014-05,3,36,1,77
2014-06,2,36,1,79
2014-07,2,38,1,82
2014-08,2,35,1,80
2014-09,2,33,1,70
2014-10,3,36,1,69
2014-11,2,36,1,67
2014-12,2,42,1,70
2015-01,2,44,1,74
2015-02,3,39,1,73
2015-03,3,39,1,74
2015-04,3,37,1,69
2015-05,3,38,1,72
2015-06,2,40,1,76
2015-07,2,44,1,81
2015-08,2,46,1,78
2015-09,2,40,1,70
2015-10,3,37,1,68
2015-11,3,36,1,66
2015-12,3,39,1,69
2016-01,2,45,1,76
2016-02,3,43,1,80
2016-03,2,41,1,78
2016-04,3,41,1,76
2016-05,2,41,1,79
2016-06,2,44,1,82
2016-07,2,44,1,84
2016-08,2,39,1,76
2016-09,2,37,1,72
2016-10,2,37,1,72
2016-11,3,37,1,72
2016-12,2,37,1,74
2017-01,2,39,1,77
2017-02,3,39,1,77
2017-03,3,38,1,79
2017-04,3,41,1,76
2017-05,2,40,1,78
2017-06,2,45,1,84
2017-07,2,46,1,85
2017-08,2,43,1,80
2017-09,2,39,1,71
2017-10,2,36,1,71
2017-11,3,38,1,72
2017-12,2,39,1,71
2018-01,2,39,1,70
2018-02,3,39,1,73
2018-03,3,39,1,75
2018-04,3,40,1,71
2018-05,3,42,1,71
2018-06,2,43,1,77
2018-07,2,44,1,80
2018-08,2,39,1,74
2018-09,2,37,1,66
2018-10,3,37,1,65
2018-11,3,37,1,64
2018-12,3,37,1,64
2019-01,2,38,1,66
2019-02,3,36,1,66
2019-03,3,38,1,72
2019-04,3,38,1,67
2019-05,3,38,1,66
2019-06,2,41,1,72
2019-07,2,42,1,73
2019-08,2,39,1,69
2019-09,2,36,1,65
2019-10,3,34,1,63
2019-11,3,33,1,63
2019-12,2,33,1,69
2020-01,2,35,1,72
2020-02,3,36,1,69
2020-03,3,42,1,59
2020-04,3,38,1,53
2020-05,3,31,1,60
2020-06,2,30,1,64
2020-07,2,30,1,61
2020-08,2,29,1,60
2020-09,3,28,1,56
2020-10,3,29,1,58
2020-11,2,27,1,52
