Catégorie : Emploi

Mois,Geo: États-Unis
2004-01,100
2004-02,100
2004-03,93
2004-04,96
2004-05,91
2004-06,91
2004-07,88
2004-08,91
2004-09,85
2004-10,83
2004-11,76
2004-12,72
2005-01,91
2005-02,88
2005-03,86
2005-04,84
2005-05,83
2005-06,79
2005-07,80
2005-08,82
2005-09,80
2005-10,76
2005-11,69
2005-12,64
2006-01,82
2006-02,78
2006-03,78
2006-04,79
2006-05,76
2006-06,76
2006-07,75
2006-08,79
2006-09,72
2006-10,71
2006-11,63
2006-12,57
2007-01,78
2007-02,71
2007-03,70
2007-04,73
2007-05,70
2007-06,68
2007-07,70
2007-08,70
2007-09,68
2007-10,69
2007-11,61
2007-12,55
2008-01,72
2008-02,68
2008-03,66
2008-04,70
2008-05,67
2008-06,66
2008-07,67
2008-08,68
2008-09,70
2008-10,69
2008-11,60
2008-12,57
2009-01,70
2009-02,67
2009-03,65
2009-04,63
2009-05,61
2009-06,60
2009-07,60
2009-08,62
2009-09,61
2009-10,58
2009-11,53
2009-12,49
2010-01,59
2010-02,56
2010-03,58
2010-04,58
2010-05,55
2010-06,58
2010-07,58
2010-08,59
2010-09,56
2010-10,52
2010-11,50
2010-12,45
2011-01,64
2011-02,62
2011-03,60
2011-04,62
2011-05,62
2011-06,62
2011-07,60
2011-08,64
2011-09,60
2011-10,59
2011-11,53
2011-12,49
2012-01,60
2012-02,58
2012-03,58
2012-04,60
2012-05,61
2012-06,60
2012-07,59
2012-08,63
2012-09,59
2012-10,58
2012-11,53
2012-12,48
2013-01,62
2013-02,59
2013-03,58
2013-04,60
2013-05,59
2013-06,57
2013-07,60
2013-08,60
2013-09,58
2013-10,57
2013-11,52
2013-12,45
2014-01,56
2014-02,54
2014-03,54
2014-04,56
2014-05,54
2014-06,54
2014-07,54
2014-08,58
2014-09,55
2014-10,53
2014-11,47
2014-12,44
2015-01,52
2015-02,51
2015-03,49
2015-04,50
2015-05,48
2015-06,48
2015-07,46
2015-08,48
2015-09,48
2015-10,46
2015-11,42
2015-12,39
2016-01,58
2016-02,59
2016-03,59
2016-04,59
2016-05,60
2016-06,59
2016-07,58
2016-08,62
2016-09,61
2016-10,58
2016-11,55
2016-12,52
2017-01,64
2017-02,61
2017-03,62
2017-04,62
2017-05,62
2017-06,66
2017-07,61
2017-08,66
2017-09,63
2017-10,63
2017-11,57
2017-12,51
2018-01,63
2018-02,59
2018-03,59
2018-04,61
2018-05,61
2018-06,62
2018-07,60
2018-08,61
2018-09,58
2018-10,59
2018-11,54
2018-12,50
2019-01,63
2019-02,60
2019-03,60
2019-04,60
2019-05,59
2019-06,60
2019-07,60
2019-08,63
2019-09,62
2019-10,60
2019-11,54
2019-12,52
2020-01,65
2020-02,60
2020-03,51
2020-04,46
2020-05,47
2020-06,51
2020-07,51
2020-08,54
2020-09,52
2020-10,48
2020-11,43
