Catégorie : Toutes catégories

Mois,inflation: (France),prix: (France),IPC: (France),pas cher: (France)
2010-04,< 1,54,< 1,42
2010-05,< 1,54,< 1,40
2010-06,< 1,53,< 1,40
2010-07,< 1,52,< 1,46
2010-08,< 1,56,< 1,44
2010-09,< 1,56,< 1,37
2010-10,< 1,56,< 1,37
2010-11,< 1,60,< 1,40
2010-12,< 1,57,< 1,40
2011-01,1,59,< 1,42
2011-02,< 1,57,< 1,41
2011-03,< 1,59,< 1,41
2011-04,< 1,57,< 1,41
2011-05,< 1,56,< 1,41
2011-06,< 1,56,< 1,43
2011-07,< 1,58,< 1,50
2011-08,< 1,63,< 1,48
2011-09,< 1,60,< 1,42
2011-10,< 1,63,< 1,44
2011-11,< 1,64,< 1,43
2011-12,< 1,66,< 1,48
2012-01,1,63,< 1,47
2012-02,< 1,61,< 1,45
2012-03,< 1,64,< 1,47
2012-04,< 1,65,< 1,50
2012-05,< 1,65,< 1,48
2012-06,< 1,62,< 1,47
2012-07,< 1,64,< 1,54
2012-08,< 1,69,< 1,52
2012-09,< 1,71,< 1,46
2012-10,< 1,68,< 1,43
2012-11,< 1,69,< 1,44
2012-12,< 1,66,< 1,46
2013-01,1,62,< 1,43
2013-02,< 1,62,< 1,42
2013-03,< 1,66,< 1,45
2013-04,< 1,67,< 1,47
2013-05,< 1,66,< 1,46
2013-06,< 1,64,< 1,47
2013-07,< 1,66,< 1,53
2013-08,< 1,70,< 1,54
2013-09,< 1,72,< 1,47
2013-10,< 1,69,< 1,48
2013-11,< 1,72,< 1,52
2013-12,< 1,73,< 1,52
2014-01,< 1,68,< 1,51
2014-02,< 1,69,< 1,50
2014-03,< 1,69,< 1,51
2014-04,< 1,71,< 1,52
2014-05,< 1,74,< 1,52
2014-06,< 1,69,< 1,51
2014-07,< 1,71,< 1,58
2014-08,< 1,76,< 1,59
2014-09,< 1,74,< 1,50
2014-10,< 1,77,< 1,50
2014-11,< 1,80,< 1,55
2014-12,< 1,78,< 1,52
2015-01,< 1,72,< 1,49
2015-02,< 1,74,< 1,49
2015-03,< 1,76,< 1,49
2015-04,< 1,78,< 1,51
2015-05,< 1,77,< 1,49
2015-06,< 1,75,< 1,49
2015-07,< 1,77,< 1,58
2015-08,< 1,85,< 1,55
2015-09,< 1,81,< 1,46
2015-10,< 1,79,< 1,47
2015-11,< 1,75,< 1,47
2015-12,< 1,83,< 1,52
2016-01,< 1,84,< 1,51
2016-02,< 1,84,< 1,48
2016-03,< 1,84,< 1,48
2016-04,< 1,84,< 1,50
2016-05,< 1,85,< 1,50
2016-06,< 1,79,< 1,48
2016-07,< 1,81,< 1,55
2016-08,< 1,86,< 1,52
2016-09,< 1,86,< 1,44
2016-10,< 1,89,< 1,48
2016-11,< 1,86,< 1,47
2016-12,< 1,86,< 1,48
2017-01,< 1,84,< 1,45
2017-02,< 1,87,< 1,45
2017-03,< 1,85,< 1,45
2017-04,< 1,84,< 1,45
2017-05,< 1,84,< 1,43
2017-06,< 1,86,< 1,46
2017-07,< 1,87,< 1,51
2017-08,< 1,90,< 1,49
2017-09,< 1,89,< 1,42
2017-10,< 1,88,< 1,44
2017-11,< 1,91,< 1,48
2017-12,< 1,88,< 1,45
2018-01,< 1,93,< 1,45
2018-02,< 1,87,< 1,43
2018-03,< 1,92,< 1,44
2018-04,< 1,89,< 1,44
2018-05,< 1,90,< 1,42
2018-06,< 1,90,< 1,41
2018-07,< 1,88,< 1,47
2018-08,< 1,97,< 1,45
2018-09,< 1,96,< 1,40
2018-10,< 1,97,< 1,40
2018-11,< 1,98,< 1,41
2018-12,< 1,89,< 1,41
2019-01,< 1,89,< 1,38
2019-02,< 1,90,< 1,38
2019-03,< 1,94,< 1,38
2019-04,< 1,92,< 1,38
2019-05,< 1,90,< 1,36
2019-06,< 1,90,< 1,39
2019-07,< 1,91,< 1,41
2019-08,< 1,97,< 1,39
2019-09,< 1,94,< 1,34
2019-10,< 1,94,< 1,34
2019-11,< 1,95,< 1,36
2019-12,< 1,90,< 1,34
2020-01,1,94,< 1,34
2020-02,< 1,96,< 1,33
2020-03,< 1,76,< 1,21
2020-04,< 1,76,< 1,24
2020-05,< 1,90,< 1,29
2020-06,< 1,97,< 1,31
2020-07,< 1,100,< 1,34
2020-08,< 1,100,< 1,31
2020-09,< 1,93,< 1,26
2020-10,< 1,90,< 1,26
2020-11,< 1,84,< 1,27
