Catégorie : Toutes catégories

Mois,inflation: (France),prix: (France),IPC: (France),pas cher: (France)
2004-01,1,47,1,11
2004-02,1,46,1,13
2004-03,1,47,< 1,11
2004-04,1,48,1,13
2004-05,< 1,52,< 1,14
2004-06,1,52,< 1,14
2004-07,< 1,53,< 1,20
2004-08,< 1,53,< 1,18
2004-09,1,52,< 1,14
2004-10,1,52,< 1,14
2004-11,1,54,< 1,14
2004-12,1,56,< 1,16
2005-01,1,49,< 1,15
2005-02,1,48,< 1,16
2005-03,1,49,< 1,17
2005-04,< 1,48,< 1,17
2005-05,< 1,50,< 1,17
2005-06,< 1,48,< 1,18
2005-07,< 1,50,< 1,23
2005-08,< 1,53,< 1,23
2005-09,< 1,49,< 1,14
2005-10,1,50,< 1,14
2005-11,1,48,< 1,15
2005-12,< 1,48,< 1,16
2006-01,1,44,< 1,16
2006-02,< 1,44,< 1,17
2006-03,1,44,< 1,17
2006-04,< 1,45,< 1,17
2006-05,< 1,48,< 1,17
2006-06,< 1,45,< 1,18
2006-07,< 1,46,< 1,25
2006-08,< 1,49,< 1,25
2006-09,< 1,46,< 1,17
2006-10,< 1,48,< 1,17
2006-11,< 1,49,< 1,17
2006-12,< 1,49,< 1,18
2007-01,< 1,51,< 1,19
2007-02,< 1,44,< 1,19
2007-03,< 1,45,< 1,19
2007-04,< 1,46,< 1,21
2007-05,< 1,46,< 1,19
2007-06,< 1,46,< 1,20
2007-07,< 1,49,< 1,25
2007-08,< 1,50,< 1,23
2007-09,< 1,48,< 1,18
2007-10,< 1,49,< 1,18
2007-11,< 1,54,< 1,17
2007-12,1,52,< 1,18
2008-01,1,51,< 1,19
2008-02,1,50,< 1,21
2008-03,1,52,< 1,21
2008-04,1,50,< 1,21
2008-05,1,53,< 1,21
2008-06,1,53,< 1,21
2008-07,< 1,51,< 1,26
2008-08,< 1,51,< 1,24
2008-09,1,54,< 1,25
2008-10,1,55,< 1,25
2008-11,1,57,< 1,29
2008-12,1,57,< 1,32
2009-01,1,52,< 1,30
2009-02,1,52,< 1,32
2009-03,< 1,51,< 1,32
2009-04,< 1,51,< 1,33
2009-05,< 1,51,< 1,34
2009-06,< 1,50,< 1,35
2009-07,< 1,52,< 1,41
2009-08,< 1,54,< 1,39
2009-09,< 1,53,< 1,33
2009-10,< 1,54,< 1,34
2009-11,< 1,55,< 1,39
2009-12,< 1,53,< 1,39
2010-01,< 1,52,< 1,40
2010-02,< 1,52,< 1,41
2010-03,< 1,54,< 1,42
